Identifier,Category,Name,Synonym,CAS,Ⲗabs.max (nm),τf (ns),φF,Solvent,φISC,E(0.0; S1),E(0.0; T1),Ered,Eox,Ered. S1,Eox. S1,Ered. T1,Eox. T1,Molecular Weight,Chemical Formula,SMILES,H-Bond Donor Count,H-Bond Acceptor Count,Solubility,Melting Point,Boiling Point,pKa
N14,Xanthenes,Rhodamine 101 inner salt,,41175-43-3 (116450-56-7),565.0,,0.98,Ethanol,,,,,,,,,,,,,,,,,,
N15,Xanthenes,Sulforhodamine 101,,60311-02-6,576.0,,0.9,Ethanol,,,,,,,,,,606.7,C31H30N2O7S2,C1CC2=CC3=C(C4=C2N(C1)CCC4)OC5=C6CCC[N+]7=C6C(=CC5=C3C8=C(C=C(C=C8)S(=O)(=O)O)S(=O)(=O)[O-])CCC7,1,8,,,,
O01,Miscellaneous Dyes,Dansylglycine,[5-(Dimethylamino)Naphthalene-1-Sulfonyl]Glycine,1091-85-6,338.5,,0.66,Dioxane,,,,,,,,,,308.35,C14H16N2O4S,CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)NCC(=O)O,2,6,,,,
O02,Miscellaneous Dyes,Lucifer yellow ch,Lucifer Yellow Ch Dilithium Salt,67769-47-5,279.75,,0.21,Water,,,,,,,,,,457.3,C13H9Li2N5O9S2,[Li+].[Li+].C1=C(C=C2C3=C1C(=C(C=C3C(=O)N(C2=O)NC(=O)NN)S(=O)(=O)[O-])N)S(=O)(=O)[O-],4,11,,,,
O03,Miscellaneous Dyes,Piroxicam,,36322-90-4,325.0,,0.035,Hexane,,,,,,,,,,331.3,C15H13N3O4S,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,2,6,,,,
O04,Miscellaneous Dyes,1.2.3.4.5-pentamethylcyclopentadiene,,4045-44-7,249.0,,,Ethanol,,,,,,,,,,136.23,C10H16,CC1C(=C(C(=C1C)C)C)C,0,0,,,,
O05,Miscellaneous Dyes,Ethidium bromide,,1239-45-8,285.0,,0.039,Water,,,,,,,,,,394.3,C21H20BrN3,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],2,3,,,,
O06,Miscellaneous Dyes,4'.6-diamidino-2-phenylindole. [dapi],Dapi,28718-90-3,344.0,,0.043,Water,,,,,,,,,,350.2,C16H17Cl2N5,C1=CC(=CC=C1C2=CC3=C(N2)C=C(C=C3)C(=N)N)C(=N)N.Cl.Cl,7,2,,,,
O07,Miscellaneous Dyes,Hoechst 33258,,23491-45-4,345.5,,0.034,Water,,,,,,,,,,533.9,C25H27Cl3N6O,CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O.Cl.Cl.Cl,6,5,,,,
O08,Miscellaneous Dyes,Squarylium dye iii,,43134-09-4,627.25,,0.65,Dichloromethane,,,,,,,,,,,,,,,,,,
O09,Miscellaneous Dyes,Ellagic acid dihydrate,,133039-73-3,276.0,,,Pbs,,,,,,,,,,338.22,C14H10O10,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O.O.O,6,10,,,,
O10,Miscellaneous Dyes,Betalamic acid,,18766-66-0,424.0,,,Water,,,,,,,,,,211.17,C9H9NO5,C1C(NC(=CC1=CC=O)C(=O)O)C(=O)O,3,6,,,,
O11,Miscellaneous Dyes,Betanin,,7659-95-2,535.0,,,Pbs,,,,,,,,,,550.5,C24H26N2O13,C1C(N=C(C=C1C=CN2C(CC3=CC(=C(C=C32)O)OC4C(C(C(C(O4)CO)O)O)O)C(=O)O)C(=O)O)C(=O)O,8,15,,,,
O12,Miscellaneous Dyes,Rutin trihydrate,,153-18-4,205.0,,,Methanol,,,,,,,,,,610.5,C27H30O16,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,10,16,,,,
O13,Miscellaneous Dyes,Hesperidin,,520-26-3,203.0,,,Methanol,,,,,,,,,,610.6,C28H34O15,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,8,15,,,,
P01,Dipyrrins,5-phenyldipyrromethane,,107798-98-1,208.0,,,Hexane,,,,,,,,,,222.28,C15H14N2,C1=CC=C(C=C1)C(C2=CC=CN2)C3=CC=CN3,2,0,,,,
P02,Dipyrrins,5-phenyldipyrrin,Meso-Phenyl-2.2'-Dipyrromethene,118762-53-1,432.0,,,Toluene,,,,,,,,,,,,,,,,,,
P03,Dipyrrins,N.n'-difluoroboryl-1.9-dimethyl-5-phenydipyrrin,,865479-43-2,502.75,,0.053,Toluene,,,,,,,,,,,,,,,,,,
P04,Dipyrrins,N.n'-difluoroboryl-1.9-dimethyl-5-(4-iodophenyl)dipyrrin,,RRN 8641167,515.5,,0.23,Toluene,,,,,,,,,,,,,,,,,,
P05,Dipyrrins,N.n'-difluoroboryl-1.9-dimethyl-5-[(4-(2-trimethylsilylethynyl)pheny]dipyrrin,,RRN 9294810,515.75,,0.078,Toluene,,,,,,,,,,,,,,,,,,
P06,Dipyrrins,Bis(5-phenyldipyrrinato)zinc,,RRN 11327052,485.0,,0.006,Toluene,,,,,,,,,,,,,,,,,,
P07,Dipyrrins,Bis(5-mesityldipyrrinato)zinc,,RRN 11327059,487.0,,0.36,Toluene,,,,,,,,,,,,,,,,,,
Q01,Porphyrins,H2p,Porphine; Porphin,101-60-0,396.25,,0.043,Toluene,,,,,,,,,,310.4,C20H14N4,C1=CC2=CC3=CC=C(N3)C=C4C=CC(=N4)C=C5C=CC(=N5)C=C1N2,2,2,,,,
Q02,Porphyrins,Mgp,Magnesium Porphine,RRN 1226935,402.0,,0.058,Propanol,,,,,,,,,,,,,,,,,,
Q03,Porphyrins,Znp,Zinc Porphine,RRN 1226937,399.0,,0.0084,Ethanol,,,,,,,,,,,,,,,,,,
Q04,Porphyrins,H2oep,Octaethylporphyrin; 2.3.7.8.12.13.17.18-Octaethyl-21H.23H-Porphine,2683-82-1,400.0,,0.13,Benzene,,,,,,,,,,534.8,C36H46N4,CCC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)CC)CC)C(=C4CC)CC)C(=C3CC)CC)CC,2,2,,,,
Q05,Porphyrins,Mgoep,Magnesium Octaethylporphyrin,20910-35-4,409.75,,0.15,Toluene,,,,,,,,,,557.1,C36H44MgN4,CCC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C([N-]5)C=C1[N-]2)CC)CC)C(=C4CC)CC)C(=C3CC)CC)CC.[Mg+2],0,4,,,,
Q06,Porphyrins,Cuoep,Copper(Ii) Octaethylporphyrin,14409-63-3,400.0,,,Toluene,,,,,,,,,,596.3,C36H44CuN4,CCC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)CC)CC)CC)CC)C(=C3CC)CC)CC.[Cu+2],0,4,,,,
Q07,Porphyrins,Znoep,Zinc Octaethylporphyrin; 2.3.7.8.12.13.17.18-Octaethyl-21H.23H-Porphine Zinc(Ii),17632-18-7,404.25,,0.045,Benzene,,,,,,,,,,598.1,C36H44N4Zn,CCC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)CC)CC)CC)CC)C(=C3CC)CC)CC.[Zn+2],0,4,,,,
Q08,Porphyrins,H2tpp,Tetraphenylporphyrin; 5.10.15.20-Tetraphenyl-21H.23H-Porphine,917-23-7,419.25,,0.11,Toluene,,,,,,,,,,614.7,C44H30N4,C1=CC=C(C=C1)C2=C3C=CC(=C(C4=NC(=C(C5=CC=C(N5)C(=C6C=CC2=N6)C7=CC=CC=C7)C8=CC=CC=C8)C=C4)C9=CC=CC=C9)N3,2,2,,,,
Q09,Porphyrins,Mgtpp,Magnesium Tetraphenylporphyrin; 5.10.15.20-Tetraphenyl-21H.23H-Porphine Magnesium(Ii),14640-21-2,426.0,,0.15,Toluene,,,,,,,,,,,,,,,,,,
Q10,Porphyrins,Zntpp,Zinc Tetraphenylporphyrin; 5.10.15.20-Tetraphenyl-21H.23H-Porphine Zinc(Ii),14074-80-7,422.75,,0.033,Toluene,,,,,,,,,,678.1,C44H28N4Zn,C1=CC=C(C=C1)C2=C3C=CC(=C(C4=NC(=C(C5=CC=C([N-]5)C(=C6C=CC2=N6)C7=CC=CC=C7)C8=CC=CC=C8)C=C4)C9=CC=CC=C9)[N-]3.[Zn+2],0,4,,,,
Q11,Porphyrins,H2tmp,Tetramesitylporphyrin; 5.10.15.20-Tetramesityl-21H.23H-Porphine,56396-12-4,419.0,,0.088,Toluene,,,,,,,,,,783.1,C56H54N4,CC1=CC(=C(C(=C1)C)C2=C3C=CC(=C(C4=NC(=C(C5=CC=C(N5)C(=C6C=CC2=N6)C7=C(C=C(C=C7C)C)C)C8=C(C=C(C=C8C)C)C)C=C4)C9=C(C=C(C=C9C)C)C)N3)C,2,2,,,,
Q12,Porphyrins,Mgtmp,Magnesium Tetramesitylporphyrin; 5.10.15.20-Tetramesityl-21H.23H-Porphine Magnesium(Ii),RNN 8608739,426.5,,0.17,Toluene,,,,,,,,,,,,,,,,,,
Q13,Porphyrins,Zntmp,Zin Tetramesitylporphyrin; 5.10.15.20-Tetramesityl-21H.23H-Porphine Zinc(Ii),RNN 4648207,421.5,,0.039,Toluene,,,,,,,,,,,,,,,,,,
Q14,Porphyrins,H2ttp,Tetrakis(4-Methylphenyl)Porphyrin [Ttp],14527-51-6,420.0,,0.12,Benzene,,,,,,,,,,670.8,C48H38N4,CC1=CC=C(C=C1)C2=C3C=CC(=C(C4=NC(=C(C5=CC=C(N5)C(=C6C=CC2=N6)C7=CC=C(C=C7)C)C8=CC=C(C=C8)C)C=C4)C9=CC=C(C=C9)C)N3,2,2,,,,
Q15,Porphyrins,(o-h2nph)h2p,Tetrakis(O-Aminophenyl)Porphyrin; 5.10.15.20-Tetrakis(2-Aninophenyl)-21H.23H-Porphine,52199-35-6,420.75,,0.091,Toluene,,,,,,,,,,674.8,C44H34N8,C1=CC=C(C(=C1)C2=C3C=CC(=C(C4=NC(=C(C5=CC=C(N5)C(=C6C=CC2=N6)C7=CC=CC=C7N)C8=CC=CC=C8N)C=C4)C9=CC=CC=C9N)N3)N,6,6,,,,
Q16,Porphyrins,(odc)h2p,Tetrakis(2.6-Dichlorophenyl)Porphyrin; 5.10.15.20-Tetrakis(2.6-Dichlorophenyl)-21H.23H-Porphine,37083-37-7,419.0,,0.0019,Toluene,,,,,,,,,,890.3,C44H22Cl8N4,C1=CC(=C(C(=C1)Cl)C2=C3C=CC(=C(C4=NC(=C(C5=CC=C(N5)C(=C6C=CC2=N6)C7=C(C=CC=C7Cl)Cl)C8=C(C=CC=C8Cl)Cl)C=C4)C9=C(C=CC=C9Cl)Cl)N3)Cl,2,2,,,,
Q17,Porphyrins,C6f5-h2p,Tetrakis(Pentafluorophenyl)Porphyrin,25440-14-6,417.0,,0.032,Benzene,,,,,,,,,,974.5,C44H10F20N4,C1=CC2=C(C3=NC(=C(C4=CC=C(N4)C(=C5C=CC(=N5)C(=C1N2)C6=C(C(=C(C(=C6F)F)F)F)F)C7=C(C(=C(C(=C7F)F)F)F)F)C8=C(C(=C(C(=C8F)F)F)F)F)C=C3)C9=C(C(=C(C(=C9F)F)F)F)F,2,22,,,,
Q18,Porphyrins,N-confused tetraphenylporphyrin,N-Confused H2Tpp,RNN 10319450,440.0,,0.00156,Chloroform,,,,,,,,,,,,,,,,,,
Q19,Porphyrins,H4tpp2+,Diprotonated-Tetraphenylporphyrin,,444.5,,0.14,Benzene + tfa,,,,,,,,,,,,,,,,,,
Q20,Porphyrins,Zntmp.+,Zinc Tetramesitylporphyrin Radical Cation,,412.0,,,Dichloromethane,,,,,,,,,,,,,,,,,,
Q21,Porphyrins,Protoporphyrin ix dimethyl ester,,5522-66-7,408.0,,0.1,Methanol,,,,,,,,,,590.7,C36H38N4O4,CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)OC)C)C(=C3C)CCC(=O)OC)C=C,2,6,,,,
Q22,Porphyrins,Hematin,,15489-90-4,385.9,,,Acetic acid,,,,,,,,,,634.5,C34H34FeN4O5,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C)C=C)C)C=C)C(=C3CCC(=O)O)C)CCC(=O)O.O.[Fe+2],3,9,,,,
Q23,Porphyrins,Tetrabenzoporphine,,52952-31-5,429.0,,0.0,,,,,,,,,,,510.6,C36H22N4,C1=CC=C2C(=C1)C3=CC4=NC(=CC5=C6C=CC=CC6=C(N5)C=C7C8=CC=CC=C8C(=N7)C=C2N3)C9=CC=CC=C94,2,2,,,,
Q24,Porphyrins,H2tbp(co2bu),Tbp-Beta-Octa(Coobu)-Fb,RNN 10238035,447.0,,0.27,Dimethylformamide,,,,,,,,,,,,,,,,,,
Q25,Porphyrins,Zntbp(co2bu),Tbp-Beta-Octa(Coobu)-Zn,RNN 10238613,452.0,,0.15,Pyridine,,,,,,,,,,,,,,,,,,
Q26,Porphyrins,Pdtbp(co2bu),Tbp-Beta-Octa(Coobu)-Pd,RNN 10238614,426.0,,0.23,Dimethylformamide,,,,,,,,,,,,,,,,,,
Q27,Porphyrins,H2tbp(co2me)ph,Tbp-Meso-Tetra(4-Coome-Phenyl)-Fb,,469.0,,0.027,Dimethylformamide,,,,,,,,,,,,,,,,,,
Q28,Porphyrins,Zntbp(co2me)ph,Tbp-Meso-Tetra(4-Coome-Phenyl)-Zn,,471.0,,0.01,Dimethylformamide,,,,,,,,,,,,,,,,,,
Q29,Porphyrins,Pdtbp(co2me)ph,Tbp-Meso-Tetra(4-Coome-Phenyl)-Pd,,443.0,,0.106,Dimethylformamide,,,,,,,,,,,,,,,,,,
Q30,Porphyrins,Zntcph(co2me)ph,Tcph-Meso-Tetra(4-Coome-Phenyl)-Zn,,453.0,,0.0005,Dimethylformamide,,,,,,,,,,,,,,,,,,
Q31,Porphyrins,Pdtcph(co2me)ph,Tcph-Meso-Tetra(4-Coome-Phenyl)-Pd,,428.0,,,Dimethylformamide,,,,,,,,,,,,,,,,,,
Q32,Porphyrins,H2tbp(co2bu)ph,Tbp-Meso-Tetraphenyl-Beta-Octa(Coome)-Fb,RNN 8824349,483.0,,0.018,Dimethylformamide,,,,,,,,,,,,,,,,,,
Q33,Porphyrins,Zntbp(co2bu)ph,Tbp-Meso-Tetraphenyl-Beta-Octa(Coome)-Zn,RNN 8824926,487.0,,0.03,Dimethylformamide,,,,,,,,,,,,,,,,,,
Q34,Porphyrins,Pdtbp(co2bu)ph,Tbp-Meso-Tetraphenyl-Beta-Octa(Coome)-Pd,RNN 8755729,460.0,,0.03,Dimethylformamide,,,,,,,,,,,,,,,,,,
R01,Oligopyrroles,Ph-corrole,5.10.15-Triphenylcorrole,246231-45-8,416.0,,0.14,Dichloromethane,,,,,,,,,,526.6,C37H26N4,C1=CC=C(C=C1)C2=C3C=CC(=C4C=CC(=C(C5=CC=C(N5)C(=C6C=CC2=N6)C7=CC=CC=C7)C8=CC=CC=C8)N4)N3,3,1,,,,
R02,Oligopyrroles,C6f5-corrole,5.10.15-Tris(Pentafluorophenyl)Corrole,262280-80-8,408.0,,0.11,Dichloromethane,,,,,,,,,,,,,,,,,,
R03,Oligopyrroles,Sapphyrin,Tetraphenyl Sapphyrin,RNN 7345536,491.0,,,Dichloromethane,,,,,,,,,,,,,,,,,,
R04,Oligopyrroles,Bilirubin,,635-65-4,450.75,,,Chloroform,,,,,,,,,,584.7,C33H36N4O6,CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)C=C4C(=C(C(=O)N4)C=C)C,6,6,,,,
R05,Oligopyrroles,Biliverdin dimethyl ester,,10035-62-8,377.0,,,Ethanol,,,,,,,,,,610.7,C35H38N4O6,CC1=C(C(=CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)OC)NC1=CC4=NC(=O)C(=C4C)C=C)CCC(=O)OC,3,7,,,,
R06,Oligopyrroles,Cyanocobalamin,Synthetic Form Of Vitamin B12,68-19-9,361.0,,,Borate buffer (ph 10),,,,,,,,,,1355.4,C63H88CoN14O14P,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=C(C7=NC(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=O)N)C(C7(C)CC(=O)N)CCC(=O)N)C)[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3],9,21,,,,
S01,Phthalocyanines,H2pc,Phthalocyanine; 29H.31H-Phthalocyanine,574-93-6,698.5,,0.6,Chloronaphthalene,,,,,,,,,,514.5,C32H18N8,C1=CC=C2C(=C1)C3=NC4=NC(=NC5=C6C=CC=CC6=C(N5)N=C7C8=CC=CC=C8C(=N7)N=C2N3)C9=CC=CC=C94,2,6,,,,
S02,Phthalocyanines,Mgpc,Magnesium Phthalocyanine; Cyanide Ionophore Ii,1661-03-6,674.0,,0.48,Chloronaphthalene,,,,,,,,,,538.8,C32H18MgN8+2,C1=CC=C2C(=C1)C3=[NH+]C2=NC4=C5C=CC=CC5=C([N-]4)N=C6C7=CC=CC=C7C(=[NH+]6)N=C8C9=CC=CC=C9C(=N3)[N-]8.[Mg+2],2,4,,,,
S03,Phthalocyanines,Fepc,Iron(Ii) Phthalocyanine,132-16-1,662.0,,,Dimethylformamide,,,,,,,,,,568.4,C32H16FeN8,C1=CC=C2C(=C1)C3=NC4=NC(=NC5=C6C=CC=CC6=C([N-]5)N=C7C8=CC=CC=C8C(=N7)N=C2[N-]3)C9=CC=CC=C94.[Fe+2],0,8,,,,
S04,Phthalocyanines,Znpc,Zinc Phthalocyanine,14320-04-8,674.0,,0.3,Pyridine,,,,,,,,,,577.9,C32H16N8Zn,C1=CC=C2C(=C1)C3=NC4=NC(=NC5=C6C=CC=CC6=C([N-]5)N=C7C8=CC=CC=C8C(=N7)N=C2[N-]3)C9=CC=CC=C94.[Zn+2],0,8,,,,
S05,Phthalocyanines,H2pc(obu),1.4.8.11.15.18.22.25-Octabutoxy-29H.31H-Phthalocyanine,116453-73-7,763.0,,0.13,Chloroform,,,,,,,,,,1091.4,C64H82N8O8,CCCCOC1=C2C(=C(C=C1)OCCCC)C3=NC4=NC(=NC5=C6C(=CC=C(C6=C(N5)N=C7C8=C(C=CC(=C8C(=N7)N=C2N3)OCCCC)OCCCC)OCCCC)OCCCC)C9=C(C=CC(=C94)OCCCC)OCCCC,2,14,,,,
S06,Phthalocyanines,H2pc(tbu),2.9.16.23-Tetra-Tert-Butyl-29H.31H-Phthalocyanine,35984-93-1,699.0,,0.77,Benzene,,,,,,,,,,,,,,,,,,
S07,Phthalocyanines,Znpc(tbu),Zinc 2.9.16.23-Tetra-Tert-Butyl-29H.31H-Phthalocyanine,39001-65-5,677.0,,0.37,Benzene,,,,,,,,,,802.3,C48H48N8Zn,CC(C)(C)C1=CC2=C(C=C1)C3=NC4=NC(=NC5=C6C=C(C=CC6=C([N-]5)N=C7C8=C(C=CC(=C8)C(C)(C)C)C(=N7)N=C2[N-]3)C(C)(C)C)C9=C4C=C(C=C9)C(C)(C)C.[Zn+2],0,4,,,,
S08,Phthalocyanines,H2nc(onbu),5.9.14.18.23.27.32.36-Octabutoxy-2.3-Naphthalocyanine,105528-25-4,865.0,,,Toluene,,,,,,,,,,1291.6,C80H90N8O8,CCCCOC1=C2C=CC=CC2=C(C3=C4NC(=C31)N=C5C6=C(C7=CC=CC=C7C(=C6C(=N5)N=C8C9=C(C1=CC=CC=C1C(=C9C(=NC1=NC(=N4)C2=C(C3=CC=CC=C3C(=C21)OCCCC)OCCCC)N8)OCCCC)OCCCC)OCCCC)OCCCC)OCCCC,2,14,,,,
S09,Phthalocyanines,H2nc(tbu),2.11.20.29-Tetra-Tert-Butyl-2.3-Naphthalocyanine; Tetra-Tert-Butyl-Naphthalocyanine,58687-99-3,784.37,,0.01,Chloroform,,,,,,,,,,939.2,C64H58N8,CC(C)(C)C1=CC2=CC3=C(C=C2C=C1)C4=NC5=C6C=C7C=C(C=CC7=CC6=C(N5)N=C8C9=C(C=C1C=CC(=CC1=C9)C(C)(C)C)C(=N8)N=C1C2=C(C=C5C=CC(=CC5=C2)C(C)(C)C)C(=N1)N=C3N4)C(C)(C)C,2,6,,,,
S10,Phthalocyanines,H2n4p(tbu),2.7.12.17-Tetra-Tert-Butyl-5.10.15.20-Tetraaza-21H.23H-Porphine; Tetra-Tert-Butyl-Tetraazaporphine,64987-70-8,624.38,,0.21,Chloroform,,,,,,,,,,538.7,C32H42N8,CC(C)(C)C1=CC2=NC3=C(C=C(N3)N=C4C(=CC(=N4)N=C5C(=CC(=N5)N=C1N2)C(C)(C)C)C(C)(C)C)C(C)(C)C,2,6,,,,
S11,Phthalocyanines,Boron subphthalocyanine chloride,,36530-06-0,569.0,,0.25,Benzene,,,,,,,,,,430.7,C24H12BClN6,B1(N2C3=C4C=CC=CC4=C2N=C5N1C(=NC6=NC(=N3)C7=CC=CC=C76)C8=CC=CC=C85)Cl,0,2,,,,
T01,Chlorins Bacteriochlorins,Chlorophyll a,,479-61-8,429.0,,0.32,Diethyl ether,,,,,,,,,,893.5,C55H72MgN4O5,CCC1=C(C2=NC1=CC3=C(C4=C([N-]3)C(=C5C(C(C(=N5)C=C6C(=C(C(=C2)[N-]6)C=C)C)C)CCC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)C(C4=O)C(=O)OC)C)C.[Mg+2],0,9,,,,
T02,Chlorins Bacteriochlorins,Chlorophyll b,,519-62-0,453.0,,0.117,Diethyl ether,,,,,,,,,,907.5,C55H70MgN4O6,CCC1=C(C2=NC1=CC3=C(C4=C([N-]3)C(=C5C(C(C(=N5)C=C6C(=C(C(=C2)[N-]6)C=C)C)C)CCC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)C(C4=O)C(=O)OC)C)C=O.[Mg+2],0,10,,,,
T03,Chlorins Bacteriochlorins,Pheophorbide a,,15664-29-6,410.0,,0.28,Ethanol,,,,,,,,,,592.7,C35H36N4O5,CCC1=C(C2=NC1=CC3=C(C4=C(C(C(=C5C(C(C(=CC6=NC(=C2)C(=C6C)C=C)N5)C)CCC(=O)O)C4=N3)C(=O)OC)O)C)C,3,9,,,,
T04,Chlorins Bacteriochlorins,Pyropheophorbide a,,24533-72-0,413.0,,0.31,Dimethylformamide,,,,,,,,,,534.6,C33H34N4O3,CCC1=C(C2=NC1=CC3=C(C4=C(CC(=C5C(C(C(=CC6=NC(=C2)C(=C6C)C=C)N5)C)CCC(=O)O)C4=N3)O)C)C,3,7,,,,
T05,Chlorins Bacteriochlorins,Pyropheophorbide a methyl ester,Methyl Pyropheophorbide A,6453-67-4,414.0,,0.21,Dichloromethane,,,,,,,,,,548.7,C34H36N4O3,CCC1=C(C2=NC1=CC3=C(C4=C(CC(=C5C(C(C(=CC6=NC(=C2)C(=C6C)C=C)N5)C)CCC(=O)OC)C4=N3)O)C)C,2,7,,,,
T06,Chlorins Bacteriochlorins,Chlorin e6,,19660-77-6,401.0,,0.16,Ethanol,,,,,,,,,,596.7,C34H36N4O6,CCC1=C(C2=CC3=C(C(=C(N3)C=C4C(C(C(=N4)C(=C5C(=C(C(=N5)C=C1N2)C)C(=O)O)CC(=O)O)CCC(=O)O)C)C)C=C)C,5,8,,,,
T07,Chlorins Bacteriochlorins,Purpurin 18,,25465-77-4,413.0,,0.08,Toluene,,,,,,,,,,564.6,C33H32N4O5,CCC1=C(C2=NC1=CC3=C(C4=C(N3)C(=C5C(C(C(=CC6=NC(=C2)C(=C6C)C=C)N5)C)CCC(=O)O)C(=O)OC4=O)C)C,3,7,,,,
T08,Chlorins Bacteriochlorins,H2tpc,Meso-Tetraphenylchlorin,2669-65-0,421.0,,0.28,Toluene,,,,,,,,,,,,,,,,,,
T09,Chlorins Bacteriochlorins,H2c-1,17.18-Dihydro-5-(4-Methylphenyl)-10-Mesityl-18.18-Dimethylporphyrin.,RNN 8601239,414.0,,0.26,Toluene,,,,,,,,,,,,,,,,,,
T10,Chlorins Bacteriochlorins,Cuc-1,Cupper(Ii)-17.18-Dihydro-10-Mesityl-18.18-Dimethyl-5-(4-Methylphenyl)Porphyrin,RNN 8606740,409.0,,,Toluene,,,,,,,,,,,,,,,,,,
T11,Chlorins Bacteriochlorins,Znc-1,Zinc(Ii)-17.18-Dihydro-10-Mesityl-18.18-Dimethyl-5-(4-Methylphenyl)Porphyrin,RNN 8606739,411.0,,0.083,Toluene,,,,,,,,,,,,,,,,,,
T12,Chlorins Bacteriochlorins,H2coxo-1,17.18-Dihydro-18.18-Dimethyl-5-(4-Methylphenyl)-10-Mesityl-17-Oxoporphyrin,RNN 9374284,415.0,,0.13,Toluene,,,,,,,,,,,,,,,,,,
T13,Chlorins Bacteriochlorins,Mgcoxo-1,Magnesium(Ii)-17.18-Dihydro-18.18-Dimethyl-5-(4-Methylphenyl)-10-Mesityl-17-Oxoporphyrin,RNN 9379026,425.0,,0.1,Toluene,,,,,,,,,,,,,,,,,,
T14,Chlorins Bacteriochlorins,Cucoxo-1,Cupper(Ii)-17.18-Dihydro-18.18-Dimethyl-5-(4-Methylphenyl)-10-Mesityl-17-Oxoporphyrin,RNN 9379028,420.0,,,Toluene,,,,,,,,,,,,,,,,,,
T15,Chlorins Bacteriochlorins,Zncoxo-1,Zinc(Ii)-17.18-Dihydro-18.18-Dimethyl-5-(4-Methylphenyl)-10-Mesityl-17-Oxoporphyrin,RNN 9379029,423.0,,0.04,Toluene,,,,,,,,,,,,,,,,,,
T16,Chlorins Bacteriochlorins,Bacteriochlorophyll a,,17499-98-8,780.2,,0.2,Toluene,,,,,,,,,,911.5,C55H74MgN4O6,CCC1C(C2=CC3=C(C(=C([N-]3)C=C4C(C(C(=N4)C5=C6C(=C(C(=CC1=N2)[N-]6)C)C(=O)C5C(=O)OC)CCC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)C)C)C(=O)C)C.[Mg+2],0,10,,,,
Nice01,Aromatic Hydrocarbons,1.4-dicyanobenzene,DCB,623-26-7,290.0,9.7,,,,4.01,3.04,-1.46,,2.55,,1.58,,128.13,C8H4N2,C1=CC(=CC=C1C#N)C#N,0,2,,,,
Nice02,Aromatic Hydrocarbons,1.4-dicyanonaphtalene,DCN,3029-30-9,325.0,10.3,,,,3.57,2.41,-1.27,,2.3,,1.15,,178.19,C12H6N2,C1=CC=C2C(=CC=C(C2=C1)C#N)C#N,0,2,,,,
Nice03,Aromatic Hydrocarbons,9.10-dicyanoanthracene,DCA,1217-45-4,422.0,14.9,0.76,,0.0085,2.9,1.81,-0.91,,1.99,,0.9,,228.25,C16H8N2,C1=CC=C2C(=C1)C(=C3C=CC=CC3=C2C#N)C#N,0,2,,,,
Nice04,Benzophenones,Benzophenone,BP,119-61-9,335.0,0.008,,,1.0,3.22,3.0,-1.72,2.39,1.5,-0.83,1.28,-0.61,182.22,C13H10O,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,0,1,,,,
