Identifier,Category,Name,Synonym,CAS,Ⲗabs.max (nm),τf (ns),φF,Solvent,φISC,E(0.0; S1),E(0.0; T1),Ered,Eox,Ered. S1,Eox. S1,Ered. T1,Eox. T1,Molecular Weight,Chemical Formula,SMILES,H-Bond Donor Count,H-Bond Acceptor Count,Solubility,Melting Point,Boiling Point,pKa
E09,Heterocycles,4.4'-bipyridine,4.4_-Bipyridy; 4.4_-Dipyridine; 4.4_-Dipyridyl,553-26-4,238.0,,,Acetonitrile,,,,,,,,,,156.18,C10H8N2,C1=CN=CC=C1C2=CC=NC=C2,0,2,,,,
E10,Heterocycles,Quinoline,,91-22-5,204.0,,0.01,Ethanol,,,,,,,,,,129.16,C9H7N,C1=CC=C2C(=C1)C=CC=N2,0,1,,,,
E11,Heterocycles,8-quinoline carboxylic acid,,86-59-9,219.0,,0.02,Ethanol,,,,,,,,,,173.17,C10H7NO2,C1=CC2=C(C(=C1)C(=O)O)N=CC=C2,1,3,,,,
E12,Heterocycles,3-quinoline carboxaldehyde,,13669-42-6,245.0,,,Ethanol,,,,,,,,,,157.17,C10H7NO,C1=CC=C2C(=C1)C=C(C=N2)C=O,0,2,,,,
E13,Heterocycles,Benzothiazole,,95-16-9,217.0,,,Ethanol,,,,,,,,,,135.19,C7H5NS,C1=CC=C2C(=C1)N=CS2,0,2,,,,
E14,Heterocycles,Benzotriazole,,95-14-7,253.0,,,Ethanol,,,,,,,,,,119.12,C6H5N3,C1=CC2=NNN=C2C=C1,1,2,,,,
E15,Heterocycles,2-methylbenzoxazole,,95-21-6,231.75,,,Cyclohexane,,,,,,,,,,133.15,C8H7NO,CC1=NC2=CC=CC=C2O1,0,2,,,,
E16,Heterocycles,Pyrrole,,109-97-7,206.0,,,Hexane,,,,,,,,,,67.09,C4H5N,C1=CNC=C1,1,0,,,,
E17,Heterocycles,Pyrrole-2-carboxaldehyde,2-Formylpyrrole,1003-29-8,278.0,,,Hexane,,,,,,,,,,95.10,C5H5NO,C1=CNC(=C1)C=O,1,1,,,,
E18,Heterocycles,Thiazole orange,,107091-89-4,502.0,,,Methanol,,,,,,,,,,476.6,C26H24N2O3S2,CC1=CC=C(C=C1)S(=O)(=O)[O-].CN1C2=CC=CC=C2SC1=CC3=CC=[N+](C4=CC=CC=C34)C,0,5,,,,
E19,Heterocycles,Thioflavin t,,2390-54-7,413.0,,0.0004,Water,,,,,,,,,,318.9,C17H19ClN2S,CC1=CC2=C(C=C1)[N+](=C(S2)C3=CC=C(C=C3)N(C)C)C.[Cl-],0,3,,,,
E20,Heterocycles,Tris(2.2'-bipyridyl)ruthenium(ii),Tris(2.2_-Bipyridyl)Dichlororuthenium(Ii),65034-88-0,286.0,,,Water,,,,,,,,,,646.5,C24H18Cl2N12Ru,C1=CN=C(N=C1)C2=NC=CC=N2.C1=CN=C(N=C1)C2=NC=CC=N2.C1=CN=C(N=C1)C2=NC=CC=N2.[Cl-].[Cl-].[Ru+2],0,14,,,,
E21,Heterocycles,4-chloro-7-nitrobenzofurazan,Nbd,10199-89-0,336.0,,,Ethanol,,,,,,,,,,199.55,C6H2ClN3O3,C1=C(C2=NON=C2C(=C1)Cl)[N+](=O)[O-],0,5,,,,
E22,Heterocycles,7-benzylamino-4-nitrobenz-2-oxa-1.3-diazole,4-Benzylamino-7-Nitrobenzofurazan. Benzylamino-Nbd,18378-20-6,460.5,,0.36,Ethanol,,,,,,,,,,270.24,C13H10N4O3,C1=CC=C(C=C1)CNC2=CC=C(C3=NON=C23)[N+](=O)[O-],1,6,,,,
E23,Heterocycles,Carbostyril 124,7-Amino-4-Methyl-2-Hydroxyquinoline,19840-99-4,219.0,,0.97,Water (ph 5 to 9 ),,,,,,,,,,174.20,C10H10N2O,CC1=CC(=O)NC2=C1C=CC(=C2)N,2,2,,,,
E24,Heterocycles,Quinoline yellow,Acid Yellow 3,8004-92-0,413.0,,,Pbs,,,,,,,,,,477.4,C18H9NNa2O8S2,C1=CC=C2C(=C1)C(=O)C(C2=O)C3=NC4=C(C=C(C=C4C=C3)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],0,9,,,,
E25,Heterocycles,2.3.5-triphenyltetrazolium chloride,Tetrazolium Red,298-96-4,247.0,,,Pbs,,,,,,,,,,334.8,C19H15ClN4,C1=CC=C(C=C1)C2=NN([N+](=N2)C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],0,3,,,,
E26,Heterocycles,Quinine sulfate,,207671-44-1,349.0,,0.546,H2so4 aq (1 n),,,,,,,,,,782.9,C40H54N4O10S,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.O.O.OS(=O)(=O)O,6,14,,,,
F01,Biomolecules,L-alanine,,56-41-7,262.0,,,Methanol,,,,,,,,,,89.09,C3H7NO2,CC(C(=O)O)N,2,3,,,,
F02,Biomolecules,L-phenylalanine,,63-91-2,257.5,,0.022,Water,,,,,,,,,,165.19,C9H11NO2,C1=CC=C(C=C1)CC(C(=O)O)N,2,3,,,,
F03,Biomolecules,L-tyrosine,,60-18-4,274.25,,0.13,Phosphate buffer (ph 7. 0.1 m),,,,,,,,,,181.19,C9H11NO3,C1=CC(=CC=C1CC(C(=O)O)N)O,3,4,,,,
F04,Biomolecules,L-histidine,,71-00-1,211.0,,,Water,,,,,,,,,,155.15,C6H9N3O2,C1=C(NC=N1)CC(C(=O)O)N,3,4,,,,
F05,Biomolecules,L-tryptophan,,73-22-3,278.0,,0.12,Phosphate buffer (ph 7. 0.1 m),,,,,,,,,,204.22,C11H12N2O2,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,3,3,,,,
F06,Biomolecules,Adenine,,73-24-5,261.0,,,Water (ph 7),,,,,,,,,,135.13,C5H5N5,C1=NC2=NC=NC(=C2N1)N,2,4,,,,
F07,Biomolecules,Guanine,,73-40-5,243.0,,,Water,,,,,,,,,,151.13,C5H5N5O,C1=NC2=C(N1)C(=O)NC(=N2)N,3,3,,,,
F08,Biomolecules,Cytosine,,71-30-7,266.75,,,Water,,,,,,,,,,111.10,C4H5N3O,C1=C(NC(=O)N=C1)N,2,2,,,,
F09,Biomolecules,Thymine,,65-71-4,263.75,,,Water,,,,,,,,,,126.11,C5H6N2O2,CC1=CNC(=O)NC1=O,2,2,,,,
F10,Biomolecules,Uracil,,66-22-8,258.25,,,Water,,,,,,,,,,112.09,C4H4N2O2,C1=CNC(=O)NC1=O,2,2,,,,
F11,Biomolecules,2-amino-4-methylpyrimidine,,108-52-1,228.0,,,Ethanol,,,,,,,,,,109.13,C5H7N3,CC1=NC(=NC=C1)N,1,3,,,,
F12,Biomolecules,2.4-dihydroxy-6-methylpyrimidine,6-Methyluracil,626-48-2,259.0,,,Ethanol,,,,,,,,,,126.11,C5H6N2O2,CC1=CC(=O)NC(=O)N1,2,2,,,,
F13,Biomolecules,D-(-)-salicin,,138-52-3,212.0,,,Ethanol,,,,,,,,,,286.28,C13H18O7,C1=CC=C(C(=C1)CO)OC2C(C(C(C(O2)CO)O)O)O,5,7,,,,
F14,Biomolecules,Riboflavin,Vitamin B2,83-88-5,263.0,,0.3,Ethanol,,,,,,,,,,376.4,C17H20N4O6,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O,5,7,,,,
F15,Biomolecules,L-ascorbic acid,Vitamin C,50-81-7,265.0,,,Pbs,,,,,,,,,,176.12,C6H8O6,C(C(C1C(=C(C(=O)O1)O)O)O)O,4,6,,,,
F16,Biomolecules,Dl-alpha-tocopherol,Vitamin E,10191-41-0,206.0,,0.14,Ethanol,,,,,,,,,,430.7,C29H50O2,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,1,2,,,,
F17,Biomolecules,Vitamin k1,2-Methyl-3-Phytyl-1.4-Naphthoquinone. Phylloquinone,84-80-0,248.0,,,Ethanol,,,,,,,,,,450.7,C31H46O2,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C,0,2,,,,
F18,Biomolecules,Folic acid,Vitamin B9,59-30-3,281.0,,0.005,Water,,,,,,,,,,441.4,C19H19N7O6,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,6,10,,,,
G01,Quinones,1.4-benzoquinone,,106-51-4,239.75,,,Acetonitrile,,,,,,,,,,108.09,C6H4O2,C1=CC(=O)C=CC1=O,0,2,,,,
G02,Quinones,Hydroquinone,1.4-Benzenediol. 1.4-Dihydroxybenzene,123-31-9,225.0,,0.16,Acetonitrile,,,,,,,,,,110.11,C6H6O2,C1=CC(=CC=C1O)O,2,2,,,,
G03,Quinones,2.3.5.6-tetrachloro-1.4-benzoquinone,P-Chloranil,118-75-2,288.0,,,Acetonitrile,,,,,,,,,,245.9,C6Cl4O2,C1(=C(C(=O)C(=C(C1=O)Cl)Cl)Cl)Cl,0,2,,,,
