PhotochemCAD ID,Compound Category,Name,Synonym,CAS,Source,Absorption Wavelength,Absorption epsilon,Absorption coefficient,Quantum Yield,Solvent
E03,https://photochemcad.com/databases/common-compounds/heterocycles,2-Acetylpyridine,,1122-62-9,"Sigma-Aldrich, A2,100-2",227,,,,cyclohexane
E04,https://photochemcad.com/databases/common-compounds/heterocycles,4-Dimethylaminopyridine,DMAP,1122-58-3,,257,,,0.017,acetonitrile
E05,https://photochemcad.com/databases/common-compounds/heterocycles,4-(4-Nitrobenzyl)pyridine,,1083-48-3,"TCI, N0183",265,,,,ethanol
E06,https://photochemcad.com/databases/common-compounds/heterocycles,"1,3,5-Triazine",s-Triazine,290-87-9,"Alfa Aesar, L16911",270,,,,ethanol
E07,https://photochemcad.com/databases/common-compounds/heterocycles,Phthalimide,,85-41-6,,215,,,,ethanol
E08,https://photochemcad.com/databases/common-compounds/heterocycles,"2,2'-Bipyridine","2,2_-Bipyridyl; 2,2_-Dipyridine; 2,2_-Dipyridyl",366-18-7,,281,,,,acetonitrile
E09,https://photochemcad.com/databases/common-compounds/heterocycles,"4,4'-Bipyridine","4,4_-Bipyridy; 4,4_-Dipyridine; 4,4_-Dipyridyl",553-26-4,"Alfa Aesar, A10187",238,,,,acetonitrile
E10,https://photochemcad.com/databases/common-compounds/heterocycles,Quinoline,,91-22-5,"Sigma-Aldrich, 241571",204,,,0.01,ethanol
E11,https://photochemcad.com/databases/common-compounds/heterocycles,8-Quinoline carboxylic acid,,86-59-9,"Sigma-Aldrich, 367796",219,,,0.02,ethanol
E12,https://photochemcad.com/databases/common-compounds/heterocycles,3-Quinoline carboxaldehyde,,13669-42-6,"Sigma-Aldrich, 177121",245,,,,ethanol
E13,https://photochemcad.com/databases/common-compounds/heterocycles,Benzothiazole,,95-16-9,"Sigma-Aldrich, 101338",217,,,,ethanol
E14,https://photochemcad.com/databases/common-compounds/heterocycles,Benzotriazole,,95-14-7,"Sigma-Aldrich, B11400",253,,,,ethanol
E15,https://photochemcad.com/databases/common-compounds/heterocycles,2-Methylbenzoxazole,,95-21-6,,231.75,,,,cyclohexane
E16,https://photochemcad.com/databases/common-compounds/heterocycles,Pyrrole,,109-97-7,,206,,,,hexane
E17,https://photochemcad.com/databases/common-compounds/heterocycles,Pyrrole-2-carboxaldehyde,2-Formylpyrrole,1003-29-8,"Oakwood Chemical, 043867",278,,,,hexane
